City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
327,Harqalah,36.0303,10.509,57.99,71,0,3.44,TN,clear sky
328,Jalingo,8.8833,11.3667,78.35,63,100,3.53,NG,overcast clouds
329,Kizukuri,40.8061,140.3861,54.0,57,40,17.27,JP,scattered clouds
330,Buta,2.7858,24.73,68.13,99,100,0.36,CD,light rain
331,Ponta Delgada,37.7333,-25.6667,59.0,77,40,23.02,PT,scattered clouds
332,Humaita,-7.5061,-63.0208,73.51,94,18,1.36,BR,few clouds
333,Bazarnyye Mataki,54.8833,49.9333,39.47,85,66,14.03,RU,broken clouds
334,Marovoay,-16.1,46.6333,75.2,78,20,6.91,MG,few clouds
335,Dolny Kubin,49.2098,19.3034,41.0,75,0,4.61,SK,clear sky
336,Bangassou,4.7413,22.8184,68.68,99,100,2.33,CF,overcast clouds
337,Kieta,-6.2167,155.6333,84.2,66,100,4.43,PG,overcast clouds
338,Mahebourg,-20.4081,57.7,78.8,78,75,16.11,MU,light rain
339,Dalby,-27.1833,151.2667,77.0,22,0,3.0,AU,clear sky
340,Obigarm,38.7173,69.7088,52.61,48,13,8.34,TJ,few clouds
341,Nelson Bay,-32.7167,152.15,71.01,56,1,5.75,AU,clear sky
342,Boysun,38.2061,67.1986,64.81,35,100,2.06,UZ,overcast clouds
343,Namatanai,-3.6667,152.4333,85.26,67,40,8.95,PG,scattered clouds
344,Denpasar,-8.65,115.2167,86.0,79,20,8.05,ID,few clouds
345,Merritt,50.1123,-120.7942,57.2,47,90,4.61,CA,overcast clouds
346,Luganville,-15.5333,167.1667,82.18,83,76,10.6,VU,broken clouds
